drug,disease
R239,D1
R433,D1
R501,D1
R35,D2
R37,D2
R57,D2
R73,D2
R162,D2
R243,D2
R249,D2
R462,D2
R501,D2
R569,D2
R589,D2
R644,D2
R84,D3
R23,D4
R84,D4
R88,D4
R155,D4
R199,D4
R262,D4
R274,D4
R314,D4
R319,D4
R354,D4
R402,D4
R450,D4
R465,D4
R315,D5
R276,D6
R304,D6
R388,D6
R111,D7
R276,D7
R375,D7
R493,D7
R50,D8
R195,D8
R249,D8
R292,D8
R312,D8
R372,D8
R409,D8
R67,D9
R100,D9
R123,D9
R165,D9
R203,D9
R223,D9
R243,D9
R269,D9
R360,D9
R575,D9
R20,D10
R100,D10
R143,D10
R298,D10
R378,D10
R456,D10
R487,D10
R491,D10
R20,D11
R143,D11
R298,D11
R378,D11
R456,D11
R487,D11
R491,D11
R453,D12
R625,D12
R645,D12
R649,D12
R656,D12
R28,D13
R230,D13
R253,D13
R323,D13
R427,D13
R459,D13
R302,D14
R431,D14
R332,D15
R331,D16
R124,D17
R192,D17
R276,D17
R440,D17
R505,D17
R545,D17
R586,D17
R575,D18
R48,D19
R117,D19
R132,D19
R179,D19
R210,D19
R252,D19
R263,D19
R328,D19
R390,D19
R401,D19
R423,D19
R479,D19
R480,D19
R533,D19
R587,D19
R62,D20
R71,D20
R91,D20
R177,D20
R228,D20
R242,D20
R454,D20
R485,D20
R506,D20
R557,D20
R572,D20
R96,D21
R145,D21
R214,D21
R242,D21
R439,D21
R463,D21
R72,D22
R115,D22
R246,D22
R261,D22
R267,D22
R571,D22
R641,D22
R171,D23
R225,D23
R338,D24
R1,D25
R84,D25
R88,D25
R124,D25
R175,D25
R178,D25
R199,D25
R230,D25
R242,D25
R245,D25
R272,D25
R299,D25
R354,D25
R432,D25
R457,D25
R463,D25
R470,D25
R519,D25
R559,D25
R576,D25
R584,D25
R597,D25
R602,D25
R230,D26
R242,D26
R285,D26
R342,D26
R519,D26
R154,D27
R70,D28
R269,D28
R518,D28
R523,D28
R549,D28
R561,D28
R43,D29
R67,D29
R82,D29
R140,D29
R246,D29
R293,D29
R413,D29
R486,D29
R498,D29
R524,D29
R527,D29
R583,D29
R293,D30
R19,D31
R442,D32
R416,D33
R553,D34
R359,D35
R553,D35
R338,D36
R142,D37
R150,D37
R302,D37
R322,D37
R340,D37
R358,D37
R364,D37
R431,D37
R577,D37
R20,D38
R35,D38
R64,D38
R73,D38
R100,D38
R143,D38
R146,D38
R162,D38
R298,D38
R332,D38
R366,D38
R378,D38
R456,D38
R491,D38
R176,D39
R276,D39
R329,D39
R427,D39
R474,D39
R561,D39
R588,D39
R2,D40
R465,D40
R54,D41
R86,D41
R111,D41
R161,D41
R163,D41
R204,D41
R297,D41
R325,D41
R377,D41
R415,D41
R476,D41
R483,D41
R500,D41
R530,D41
R534,D41
R604,D41
R54,D42
R86,D42
R111,D42
R161,D42
R163,D42
R204,D42
R297,D42
R325,D42
R377,D42
R415,D42
R476,D42
R483,D42
R500,D42
R530,D42
R534,D42
R604,D42
R4,D43
R663,D43
R54,D44
R86,D44
R111,D44
R161,D44
R163,D44
R204,D44
R297,D44
R325,D44
R377,D44
R415,D44
R476,D44
R483,D44
R500,D44
R528,D44
R530,D44
R534,D44
R604,D44
R30,D45
R62,D45
R276,D45
R331,D45
R388,D45
R416,D45
R460,D45
R572,D45
R577,D45
R288,D46
R211,D47
R30,D48
R243,D48
R1,D49
R95,D49
R134,D49
R262,D49
R319,D49
R438,D49
R450,D49
R625,D49
R50,D50
R87,D50
R194,D50
R317,D50
R520,D50
R268,D51
R359,D52
R359,D53
R359,D54
R214,D55
R242,D55
R439,D55
R110,D56
R176,D56
R269,D56
R276,D56
R357,D56
R588,D56
R110,D57
R264,D57
R357,D57
R368,D57
R2,D58
R94,D58
R2,D59
R94,D59
R94,D60
R94,D61
R15,D62
R503,D62
R461,D63
R200,D64
R41,D65
R331,D65
R630,D65
R96,D66
R230,D66
R242,D66
R463,D66
R519,D66
R597,D66
R341,D67
R65,D68
R211,D68
R249,D68
R291,D68
R327,D68
R38,D69
R89,D69
R137,D69
R147,D69
R180,D69
R201,D69
R216,D69
R289,D69
R295,D69
R394,D69
R410,D69
R565,D69
R573,D69
R574,D69
R89,D70
R137,D70
R147,D70
R180,D70
R201,D70
R289,D70
R295,D70
R370,D70
R394,D70
R410,D70
R540,D70
R565,D70
R574,D70
R71,D71
R81,D72
R181,D72
R81,D73
R181,D73
R6,D74
R12,D74
